Video_title,Video_description,Location_name,Location_address,Location_x_coor,Location_y_coor
Big Bear Bald Eagle Wide View - Cam 2,"This live feed is owned and operated by Friends of Big Bear Valley, a 501c3 nonprofit organization. Any public use of the live ...","Bear Valley, a","2280 CA-207, Bear Valley, CA 95223, USA",38.4926051,-120.0442661
"🔴 24/7 LIVE: Wildlife In The Forest | Fox, Badger, Deer, Marten, Birds - By Morten Hilmer",Welcome to the peaceful nature of Denmark. My name is Morten Hilmer and this is my backyard. This 24/7 livestream reveals the ...,"Fox, Badger,","Railway Ln, Wellow, Bath BA2 8QG, UK",51.322976,-2.3745093
Decorah Eagles - North Nest powered by EXPLORE.org,"Take a peek inside this massive bald eagle nest in Decorah, Iowa. Find out the best time to watch live and learn more about these ...","eagle nest in Decorah, Iowa.","Decorah, IA 52101, USA",43.30330559999999,-91.7857092
West End Bald Eagle Cam powered by EXPLORE.org,"Full nest history https://www.iws.org/west-end-nest-history From the west end of Catalina Island, where the sun sets over the ...","Catalina Island, where the sun","Santa Catalina Island, California 90704, USA",33.3878856,-118.4163103
Kitten Rescue Cat Cam powered by EXPLORE.org,"This private room at Kitten Rescue Sanctuary in Los Angeles is the perfect place to watch tiny kittens eat, play, learn and grow.",Rescue Sanctuary in Los Angeles,"Los Angeles, CA, USA",34.0549076,-118.242643
Tropical Reef Camera powered by EXPLORE.org,This tropical reef exhibit is modeled after the coast of Palau and houses more than 1000 animals. Find out the best times to watch ...,Palau and houses more than,Palau,7.514979999999999,134.58252
International Wolf Center North Camera powered by EXPLORE.org,Best Viewing Hours: 6-9 a.m. and 5 to 8 p.m CT The International Wolf Center advances the survival of wolf populations by ...,The International Wolf Center advances,"International Wolf Center, 1396 MN-169, Ely, MN 55731, USA",47.9057806,-91.82782399999999
Sloth TV powered by EXPLORE.org,Support Toucan Rescue Ranch during the Sloth Iron Man Games: https://www.mightycause.com/story/Slothironmangames2023 ...,Support Toucan Rescue Ranch during,"Toucan Rescue Ranch, Off of Route 112 near downtown San Josecito, Heredia, San Josecito, Costa Rica",10.0257056,-84.0351463
Mesmerizing Jellyfish Cam at Aquarium of the Pacific. Play on large screen TV!,The slow propulsions of these west coast sea nettles are mesmerizing. Watch live and learn more about this fascinating species ...,Aquarium of the Pacific. Play,"100 Aquarium Way, Long Beach, CA 90802, USA",33.7619735,-118.1969738
International Wolf Center South Camera powered by EXPLORE.org,Best Viewing Hours: 6-9 a.m. and 5 to 8 p.m CT At the upper reaches of Minnesota this camera is situated on the south side of a ...,International Wolf Center South Camera,"International Wolf Center, 1396 MN-169, Ely, MN 55731, USA",47.9057806,-91.82782399999999
Red Panda Forest Park powered by EXPLORE.org,Live views of adorable red pandas! Love Animals and Nature? Subscribe to this channel: https://goo.gl/nCZiaJ Welcome to ...,Panda Forest,"Willow Creek, 5216 S Westnedge Ave, Portage, MI 49002, USA",42.2415625,-85.5905518
